,reviewId,content,happy,unhappy,Neutral
0,ad646a96-fc08-414a-9b6b-57e8507af009,"Tracking the driver on the map is the worst. Learn from your competitors, like Jahez. In response to Hungerstation reply: the app is updated and location services are enabled. Your app sucks",0.066,0.173,0.761
1,30808ffd-5010-410d-9a66-4903ad29d0b7,no option to change ur order or cancle our order this is un professional behaviour from hunger station there must be an option to cancle order or amend the order but no way plz look into the matter Professionally,0.061,0.139,0.8
2,593c460a-715a-41d7-86c9-0906c0851e74,"Customer service us bad, items usually comes missing",0.0,0.487,0.513
3,31172352-eabf-4616-ad8e-e156f4877e8a,Worst app ever ..people plz be aware of this app ..there isnt enough reastaurent +they add lots of taxes on the meel+ Recently they have a really really bad customer services and high and expensive delivery🙃👎,0.031,0.197,0.772
4,a491a01b-e54d-44d9-b44e-4f102ef86371,على كيفهم يتأخرون بدون اي اعتذار بدون اي تعويض!!,0.0,0.0,1.0
5,694a81da-fac9-40be-b597-44fd08a363a9,🧡,0.0,0.0,0.0
6,1abe0c6f-3504-4ed4-9b23-5718a5d47cbd,"Easy to use app! When i was in jeddah, This app really helps me a lot in ordering food in different restaurant. The app offers a variety of promotion such as free delivery and discount. Easy to use, and You can track your order via app. Deserves 5 star!!",0.239,0.0,0.761
7,b020da0c-9919-4b78-9070-98f77466fbe8,I am waiting for a KFC order for over 1 hour. I call and text the driver there is no response. I cant even reach out to hungeratation customer service! I cant even cancel and reorder either! What is going on?,0.046,0.103,0.851
8,b153f18b-8bbe-4fab-81fb-8f4742d39b9f,سيء جدا,0.0,0.0,1.0
9,a1c21f6f-561d-4370-a67e-a6510e820847,good,1.0,0.0,0.0
10,4fe143cc-43f9-4f0a-a9d8-630e2695eca0,طلبت طلب وصلو لي الطلب الخطا و رافضين يعترفون بخطاهم مع اني مستخدم فعال عندهم و مشترك ب بلس ابحذف التطبيق,0.0,0.0,1.0
11,a2975820-a568-4b01-845b-1885b10a65db,Worst experience ever in KSA No direct contact for complaints! No phone number for support! No answer for open support tickets! No customer service basics! Delay in delivery for two hours! One order not received from more than two months!!! And not refunded till date! On the contrary other platforms are putting their customers on top of their priority list. Application removed from my and my family devices,0.101,0.225,0.674
12,d43fcf06-cb94-485c-8726-17e34a3e9ed0,Where from get the referral code to register aap,0.0,0.0,1.0
13,e3db2442-6ec0-4a30-bb44-40f61115f157,New version is to much chep and defcult,0.0,0.0,1.0
14,638b9398-f07a-4d05-9e73-5be5d6ce38fa,delivery and food prices are way too high and food arrives cold most of the time,0.0,0.0,1.0
15,7473741b-8a17-44ad-83ee-cf69ea7e55df,مكتوب توصيل مجاني لمده شهر عند الطلب ب١٥... ولكن عند الدفع وقبل ماينتهي الشهر بفتره يضيف رسوم توصيل...كيف كذا... كنسلنا البرنامج افضل,0.0,0.0,1.0
16,f901ccd0-9590-4268-a31c-07747d126cb2,🥰🥰🥰🥰🥰🥰🥰,0.0,0.0,1.0
17,5bd17279-569e-4f64-bbf0-f668cf4dbaf8,don't buy fruits or vegetables from them. most of the time come in rotten state.,0.0,0.191,0.809
18,c01f6efe-d72d-42ed-a45f-b2c54ae95629,بصراحة بيسعفنا فى اوقات كتير,0.0,0.0,1.0
19,31d96bb5-8e7a-4011-94b9-b8e55637372d,well done,0.677,0.0,0.323
20,557a0070-d7e0-4eec-a811-5ff2aab656f7,"this app steals your data, and the his fees much expensive! try other apps it's much better and cheaper for example Jahiz",0.109,0.136,0.755
21,5124b229-2a1d-4de1-8e62-3bb6fcac10f1,مندوب التوصي سىء جدا ولا يفهم أى حديث وتسبب فى تأخير الطلب على الرغم إنه موجود تحت الموقع الصحيح,0.0,0.0,1.0
