,index,reviewId,content,score,reviewCreatedVersion,at,Positive,Negative,Neutral,result
0,0,d45fe72a-9f15-4737-96bc-8cbc911fc40b,"The customer service is attrocious. If they send you the wrong order, make sure you keep it instead of returning it to the rider.",1,8.0.124,5/21/2023 20:46,0.084,0.113,0.803,Negative
1,1,5d56be3f-e83f-4fd3-b735-1f132c763bc0,App keeps crashing after downloading the latest update .. I'm unable to use it.,1,8.0.124,5/21/2023 18:42,0.0,0.0,1.0,Neutral
2,2,c39b8891-3ece-4d25-a3af-b014432728b9,Nic,5,,5/21/2023 18:38,0.0,0.0,1.0,Neutral
3,3,2da26918-6b9f-4d14-b3f4-869b36feb776,"Cant log in, cant set up my location since today. Once problem fixed I will add more stars.",1,8.0.124,5/21/2023 18:28,0.0,0.144,0.856,Negative
4,4,7db6f816-87d2-4cd5-8d54-156aeaf01604,"Horrible customer service, they don't allow you to see your full history of orders! Only the last 10 orders! And they don't allow you to retrieve it and customer service hangs up mid calls! Worst application ever, stick to calling restaurants directly.",1,8.0.124,5/21/2023 17:55,0.0,0.237,0.763,Negative
5,5,5675aec8-b04d-4d05-9abc-74d8355ce70e,"The app got bugged and i had to delete it and reinstall again, however, it won't let me log in to my account, which i paid for a subscription in and now i cannot use it",1,,5/21/2023 17:30,0.0,0.0,1.0,Neutral
6,6,32fd61ce-da0d-41c3-b65a-b399ac0a5944,bad application they response only if you complained through social media,5,8.0.124,5/21/2023 16:58,0.0,0.408,0.592,Negative
7,7,566a29e4-48d2-4d08-ae61-fd26e877944e,This app is really bad,1,,5/21/2023 16:58,0.0,0.487,0.513,Negative
9,9,87d6fb6b-2909-49ab-87a0-b3a77ab150b3,"Used to like this app and been using it for years, but until my issue is solved my opinion wont change.. My order was on its way to my location but the order status changed to being delivered.. There's no way to contact the rider since he didn't call me yet and my order was already paid.. I created a complaint in their customer care service and left an email but there's no response yet until now and it's been 2 weeks since i lodged a complaint.. I'm not gonna use or recommend this app..",1,8.0.122,5/20/2023 18:13,0.138,0.08,0.782,Positive
12,12,9c7fcd8f-5c2c-45ec-878a-9b304b65e2bd,We need scub3e,3,8.0.124,5/20/2023 10:28,0.0,0.0,1.0,Neutral
15,15,96fc9e84-8fc7-4729-817c-3282bdca7b9a,Best food delivery app,5,8.0.119,5/19/2023 23:25,0.583,0.0,0.417,Positive
18,18,fd586c41-ebe9-459f-8d67-12e006c72c0d,The price higher more than 10%! Worst deliver app,1,,5/19/2023 14:07,0.0,0.368,0.632,Negative
19,19,1bf5e6be-fe62-4894-a9f4-06968cc0282b,"Take too much time to deliver, today i order one burger and water with one juice almost an hour before and even after an hour they didn't deliver it. I tried to call delivery person but he was not attending calls at all. I don't know what kind of service you are providing to your customers all you do just brag in advertisement..... Blah blah blah",1,8.0.124,5/19/2023 12:26,0.0,0.074,0.926,Negative
20,20,f3806096-f866-4d05-9b6f-4d5fde946966,Good,5,8.0.123,5/19/2023 10:18,1.0,0.0,0.0,Positive
22,22,a0539d8a-ba4a-47b1-8cb7-e7d046d365ae,"The app at its start was an amazing thing, and still , it is great when it works. However, they got bigger and got arrogant, no human customer service, and everything is computerized like just now, an order came missing an item, and the app tells me to take a pic, and then it stops. So I lost the order and the money and there's no one to talk to. Other apps are upping their game, and that's where I'll go.",1,8.0.123,5/19/2023 1:03,0.111,0.15,0.739,Negative
24,24,ba220537-909b-41cb-90ed-bacd1a4b2a7a,Awesome Very good,5,,5/18/2023 22:33,0.879,0.0,0.121,Positive
25,25,a7027ef9-b6d5-43db-b1de-74e2ebcd3a40,"Guys, don't trust them . They have riders who can steal your food and mark it as delivered.this is shamful Plz plz plz please uninstall this disgusting app",1,,5/18/2023 21:26,0.175,0.262,0.563,Negative
27,27,352d6228-9a33-4e56-bfcf-b52a0cea2e05,fast and efficient!,4,8.0.124,5/18/2023 20:30,0.607,0.0,0.393,Positive
28,28,008d5f2b-dd89-40b1-8832-6cfd9279d49f,in dec when I visited the country there was no delivery charges.. but now I had to pay .. I'm sad,3,8.0.123,5/18/2023 19:12,0.0,0.315,0.685,Negative
30,30,43302f42-2ce1-42f0-a9cf-dac0dc7a4fed,Super customer service.,5,8.0.124,5/18/2023 15:14,0.661,0.0,0.339,Positive
32,32,a76aaa4b-c6a2-4033-ab50-c85b661bb1c0,Pathetic customer service. Had to wait 3 hours to recieve order. The rider wanders around and there is no option to launch complain.,1,,5/18/2023 13:52,0.0,0.307,0.693,Negative
34,34,239043ff-e66a-4e5b-bf84-7fe8f95bc6ba,"Used to be good, now many mistakes in the system and bad customer satisfaction. Not convenient.",2,,5/18/2023 2:54,0.244,0.252,0.504,Negative
35,35,946a286f-03e0-49df-9857-4dc002a1d3fe,high prices and delivery agents not mannered,2,,5/18/2023 0:54,0.0,0.0,1.0,Neutral
37,37,6b3d101f-2bb0-4816-b091-666bc627e030,now they charge delivery more,3,8.0.123,5/17/2023 22:00,0.0,0.0,1.0,Neutral
38,38,8a4a92b1-faea-481c-aa0d-b99aa7394b4d,"very good app, working like a charm !",5,8.0.123,5/17/2023 21:37,0.743,0.0,0.257,Positive
39,39,72e272cc-dbd4-4a03-81c5-ca202bbbd692,".h,,9",4,8.0.120,5/17/2023 16:03,0.0,0.0,1.0,Neutral
43,43,8baa7df6-888b-4898-b1aa-cd5b5c17040b,good service,5,8.0.123,5/17/2023 0:02,0.744,0.0,0.256,Positive
45,45,46c5d9b4-c76e-407b-98d5-fb2d36c35025,Radar Hunger,5,,5/16/2023 21:03,0.0,0.667,0.333,Negative
46,46,3cd8b816-5c93-4987-a436-c50e46c2a112,Good,5,8.0.123,5/16/2023 20:33,1.0,0.0,0.0,Positive
48,48,3f89a2c7-6988-4f35-9bc2-06a0ae7c9e1d,Worst app ever,1,,5/16/2023 17:56,0.0,0.672,0.328,Negative
59,59,e256a96a-e260-4465-aac3-b371c958a2e0,"The application is well known, easy and effective",5,8.0.123,5/14/2023 15:01,0.618,0.0,0.382,Positive
60,60,18a3d141-c500-4856-9c60-82cec62d87cd,perfect servise and apps,5,8.0.123,5/14/2023 11:47,0.552,0.0,0.448,Positive
61,61,85e0e0a2-91fa-41e7-9333-6cbd4ad322ab,You are scam saying free delivery and increasing the original price of food with your rate eg: albail burger is for 13.50 and you are selling for 18 indirectly taking delivery fee and extra very bad shouldn't lie for money,1,,5/14/2023 11:12,0.114,0.153,0.733,Negative
63,63,faf84239-55dd-4c64-b0a8-8fc8e7c25505,it's great,5,8.0.121,5/13/2023 23:33,0.804,0.0,0.196,Positive
65,65,894e4be8-959e-4397-9f56-993a567db0c4,best food order application,4,8.0.121,5/13/2023 21:34,0.583,0.0,0.417,Positive
66,66,41337a7b-1f3d-4674-bc90-f667dc30614a,Terrible customer support. Broken app experience. Buggy groceries. Multiple wrong orders and nobody has taken action in weeks. Will not recommend using.,2,,5/13/2023 20:51,0.087,0.367,0.546,Negative
68,68,5f36e218-d2d1-4caa-9c2e-4d2c9803c9e4,Terrible experience bad app over priced bad costumers service,1,8.0.123,5/13/2023 16:49,0.0,0.627,0.373,Negative
69,69,762f74e7-a4de-4d7c-abfc-cfa9f377cf6b,best food appa,5,8.0.122,5/13/2023 15:15,0.677,0.0,0.323,Positive
70,70,190ae0df-8c7b-48d0-95a1-27f40befca47,"Customer Service is awful. the delivery guy would be late for more than 2 hours because he's taking too many orders, and the customer service is removed from the app, and they never answer on Twitter. Absolutely wouldn't recommend using this app for your sanity.",1,8.0.123,5/13/2023 1:48,0.0,0.114,0.886,Negative
72,72,612fba03-98a1-4f7e-be9c-cd13de47f21f,good,5,8.0.123,5/12/2023 23:56,1.0,0.0,0.0,Positive
74,74,03d49df7-3ced-49c9-9537-b7d3b4def08e,"Bad customer service, they don't even bother answering online support queues for missing purchased items. Uninstalling, not worth the usage if it has no customer support.",1,8.0.123,5/12/2023 22:57,0.207,0.266,0.528,Negative
76,76,ad646a96-fc08-414a-9b6b-57e8507af009,"Tracking the driver on the map is the worst. Learn from your competitors, like Jahez. In response to Hungerstation reply: the app is updated and location services are enabled. Your app sucks",2,8.0.123,5/12/2023 18:28,0.066,0.173,0.761,Negative
77,77,30808ffd-5010-410d-9a66-4903ad29d0b7,no option to change ur order or cancle our order this is un professional behaviour from hunger station there must be an option to cancle order or amend the order but no way plz look into the matter Professionally,1,8.0.121,5/12/2023 18:01,0.061,0.139,0.8,Negative
78,78,593c460a-715a-41d7-86c9-0906c0851e74,"Customer service us bad, items usually comes missing",1,8.0.122,5/12/2023 14:53,0.0,0.487,0.513,Negative
82,82,1abe0c6f-3504-4ed4-9b23-5718a5d47cbd,"Easy to use app! When i was in jeddah, This app really helps me a lot in ordering food in different restaurant. The app offers a variety of promotion such as free delivery and discount. Easy to use, and You can track your order via app. Deserves 5 star!!",5,,5/12/2023 2:56,0.239,0.0,0.761,Positive
83,83,b020da0c-9919-4b78-9070-98f77466fbe8,I am waiting for a KFC order for over 1 hour. I call and text the driver there is no response. I cant even reach out to hungeratation customer service! I cant even cancel and reorder either! What is going on?,1,,5/11/2023 23:20,0.046,0.103,0.851,Negative
85,85,a1c21f6f-561d-4370-a67e-a6510e820847,good,5,8.0.122,5/11/2023 22:02,1.0,0.0,0.0,Positive
87,87,a2975820-a568-4b01-845b-1885b10a65db,Worst experience ever in KSA No direct contact for complaints! No phone number for support! No answer for open support tickets! No customer service basics! Delay in delivery for two hours! One order not received from more than two months!!! And not refunded till date! On the contrary other platforms are putting their customers on top of their priority list. Application removed from my and my family devices,1,8.0.119,5/11/2023 17:06,0.101,0.225,0.674,Negative
88,88,d43fcf06-cb94-485c-8726-17e34a3e9ed0,Where from get the referral code to register aap,1,8.0.123,5/11/2023 13:20,0.0,0.0,1.0,Neutral
89,89,e3db2442-6ec0-4a30-bb44-40f61115f157,New version is to much chep and defcult,1,8.0.117,5/11/2023 10:47,0.0,0.0,1.0,Neutral
90,90,638b9398-f07a-4d05-9e73-5be5d6ce38fa,delivery and food prices are way too high and food arrives cold most of the time,2,8.0.121,5/11/2023 10:17,0.0,0.0,1.0,Neutral
93,93,5bd17279-569e-4f64-bbf0-f668cf4dbaf8,don't buy fruits or vegetables from them. most of the time come in rotten state.,1,8.0.104,5/11/2023 2:50,0.0,0.191,0.809,Negative
95,95,31d96bb5-8e7a-4011-94b9-b8e55637372d,well done,5,8.0.119,5/10/2023 20:45,0.677,0.0,0.323,Positive
96,96,557a0070-d7e0-4eec-a811-5ff2aab656f7,"this app steals your data, and the his fees much expensive! try other apps it's much better and cheaper for example Jahiz",1,8.0.122,5/10/2023 18:50,0.109,0.136,0.755,Negative
98,98,327e840a-f73e-4e55-a37d-a5df5d77c6c9,Hello hi,4,8.0.122,5/10/2023 18:05,0.0,0.0,1.0,Neutral
99,99,c1aa3ad4-a14f-4de2-9f97-53c7fcebb74e,I love this,5,8.0.122,5/10/2023 16:06,0.808,0.0,0.192,Positive
100,100,ff1190d3-313c-4c7d-8661-1dea560fa489,Saishree,5,8.0.122,5/10/2023 15:21,0.0,0.0,1.0,Neutral
101,101,45b3578c-a389-49d3-8f40-075a9d4e85c0,",sQ,2w",1,8.0.122,5/10/2023 14:06,0.0,0.0,1.0,Neutral
102,102,b18c55d0-0f5e-4e4a-a94c-b4db9148f344,"I can't complaining about my order, when i press the button to upload picture, the aplication suddenly close",2,,5/10/2023 14:06,0.096,0.0,0.904,Positive
104,104,e7f7031f-a762-4424-94b4-105bca2f6c3d,"I'm not saying it a bad App its just they're really sweet but there are little errors the specially with the drivers and codes. I started using Hunger station a month ago, I came to KSA 3 months ago and heard from a friend they are great but have little errors but overall good app. So when I started they said 1st months free delivery but when I order they charge me for delivery and on top of that driver's don't have change or ask for tips because apparently if I don't they say their pay is low.",1,8.0.122,5/10/2023 12:35,0.216,0.106,0.678,Positive
105,105,b64ec56e-e09c-4292-a054-0822c886d36d,Customer service is not working,1,8.0.122,5/10/2023 1:48,0.0,0.0,1.0,Neutral
106,106,e95d7364-ef61-42c6-9871-a83db3f1fb3a,"You should remove this app from Google store, and open local store!",1,8.0.122,5/9/2023 20:57,0.0,0.0,1.0,Neutral
107,107,d4172273-781f-42f4-92e6-a96866ed9e18,So bad ! Never try this App,1,8.0.123,5/9/2023 20:55,0.0,0.45,0.55,Negative
109,109,338acc31-8ccb-4893-9e39-ca447462e463,took my money and cancelled the order without one call I will make governmental complain,1,8.0.122,5/9/2023 11:30,0.0,0.273,0.727,Negative
110,110,d2876657-1249-4aeb-8e30-10bea0a9daf0,I love best food from hungerstation,5,,5/8/2023 15:55,0.737,0.0,0.263,Positive
111,111,e3338099-cb96-4757-b3ac-71456dd3bd84,I'm surry,5,,5/8/2023 15:26,0.0,0.0,1.0,Neutral
113,113,eb539e82-de90-4456-b7a7-32e772ebb395,they can be stingy at times but the service is good delivery and customer service is good too.,4,8.0.121,5/7/2023 19:09,0.314,0.073,0.612,Positive
114,114,53113561-f039-4927-aa94-64e5f3aea93e,Thank you for the fast delivery. Food is still hot and crispy,5,8.0.122,5/7/2023 17:27,0.185,0.0,0.815,Positive
115,115,b2e1e70c-063c-47ec-8b5e-3b2fdc236a80,it took many attenpts for hungerstation to accept my credit card,3,8.0.122,5/7/2023 17:04,0.366,0.0,0.634,Positive
